GMT,AST,Seconds in Period,Speed (M/S)
2019-08-01 19:50:00,2019-08-01 15:50:00,114600,2.7799999999999998
2019-08-01 20:00:00,2019-08-01 16:00:00,124200,2.6800000000000002
2019-08-01 20:10:00,2019-08-01 16:10:00,139800,2.5600000000000001
2019-08-01 20:20:00,2019-08-01 16:20:00,144000,2.4300000000000002
2019-08-01 20:30:00,2019-08-01 16:30:00,140400,2.3100000000000001
2019-08-01 20:50:00,2019-08-01 16:50:00,108600,2.0499999999999998
2019-08-01 21:10:00,2019-08-01 17:10:00,84600,1.78
2019-08-01 21:20:00,2019-08-01 17:20:00,70200,1.6399999999999999
2019-08-01 21:30:00,2019-08-01 17:30:00,76200,1.5
2019-08-01 21:40:00,2019-08-01 17:40:00,81600,1.29
2019-08-01 21:50:00,2019-08-01 17:50:00,66000,1.1200000000000001
2019-08-01 22:00:00,2019-08-01 18:00:00,62400,0.92000000000000004
2019-08-01 22:10:00,2019-08-01 18:10:00,49200,0.80000000000000004
2019-08-01 22:20:00,2019-08-01 18:20:00,48600,0.55000000000000004
2019-08-01 22:30:00,2019-08-01 18:30:00,34800,0.26000000000000001
2019-08-01 22:40:00,2019-08-01 18:40:00,18600,0.10000000000000001
2019-08-01 22:50:00,2019-08-01 18:50:00,58200,0.65000000000000002
2019-08-01 23:10:00,2019-08-01 19:10:00,72600,1.48
2019-08-01 23:40:00,2019-08-01 19:40:00,84600,1.9299999999999999
2019-08-01 23:50:00,2019-08-01 19:50:00,110400,2.0699999999999998
2019-08-02 00:00:00,2019-08-01 20:00:00,103800,2.25
2019-08-02 00:10:00,2019-08-01 20:10:00,145200,2.4100000000000001
2019-08-02 00:30:00,2019-08-01 20:30:00,119400,2.8100000000000001
2019-08-02 00:50:00,2019-08-01 20:50:00,47400,3.3300000000000001
2019-08-02 01:00:00,2019-08-01 21:00:00,61800,3.6600000000000001
2019-08-02 01:30:00,2019-08-01 21:30:00,21000,4.3600000000000003
2019-08-02 01:40:00,2019-08-01 21:40:00,18000,4.5300000000000002
2019-08-02 01:50:00,2019-08-01 21:50:00,9600,4.6200000000000001
2019-08-02 02:00:00,2019-08-01 22:00:00,14400,4.5700000000000003
2019-08-02 02:20:00,2019-08-01 22:20:00,13800,4.4900000000000002
2019-08-02 02:40:00,2019-08-01 22:40:00,22800,4.3799999999999999
2019-08-02 02:50:00,2019-08-01 22:50:00,21600,4.3700000000000001
2019-08-02 03:00:00,2019-08-01 23:00:00,19800,4.2699999999999996
2019-08-02 03:10:00,2019-08-01 23:10:00,34800,4.0199999999999996
